OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,SHAPEAREA,SHAPELEN,CREATED_DATE,LAST_EDITED_DATE
560523,,50.07742827,TOWN OF GARNER,GARNER,OPEN SPACE,,,,SWIFT CREEK,,2156883.39002201,6930.39851638213,,
560524,OS-032,122.70690197,WAKE COUNTY,GARNER,OPEN SPACE,,EASEMENT,959,SWIFT CREEK,OS-032,5359287.08323218,18993.0858921431,,
560525,Hunter Elementary,11.36501515,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,495285.337682296,3494.46245126806,,
560526,,0.08640976,RIGHT OF WAY,RALEIGH,OPEN SPACE,,,,,,3764.00907750471,268.363384240633,,
560527,Fleming Loop Recreational Park,36.24696868,SIXTEEN TEN WOLFPACK LANE,FUQUAY-VARINA,PARK,,,,,,1578917.95556877,5811.58155353962,,
560528,Wilburn Elementary,15.58591997,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,677138.318651232,3470.98446010379,,
560529,Kiwanis Park,41.31948642,CITY OF RALEIGH,RALEIGH,PARK, , , ,CRABTREE CREEK,,1799877.63456115,11143.7674836597,,
560530, ,1.52162229,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,MARSH CREEK,,66281.8669574124,2358.29629407178,,
560531,Fallon Park,9.82475983,CITY OF RALEIGH,RALEIGH,PARK, , , ,CRABTREE CREEK,,427966.538375335,5892.70217945381,,
560532,Joyner Elementary,12.72798343,WAKE COUNTY,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,789,,,554430.958102725,3097.31204138174,,
560533,Pollock Park,0.56593452,CITY OF RALEIGH,RALEIGH,PARK,,,,,,24652.1077751254,893.027564029636,,
560534,Clark & Merrimon Park,0.66271988,CITY OF RALEIGH,RALEIGH,PARK,,,,,,28868.0778917793,848.86183501877,,
560535,,84.24050434,UNITED STATES OF AMERICA,CARY,OPEN SPACE,,,,KITTS CREEK,,3669516.36922551,11858.5629543996,,
560536,,0.44861912,WAKE COUNTY,RALEIGH,GREENWAY,,,,,,19541.8489176335,639.313700786547,,
560537,,0.11705286,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,5098.82268365077,378.658668443359,,
560538,Crabtree Creek Trail,72.35962968,TRIANGLE GREENWAYS COUNCIL,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,3131746.60351828,10430.9282293481,,
560539,OS-013,26.38580392,TOWN OF WENDELL / ZEBULON,WENDELL,GREENWAY, ,PARTNERSHIP,950,,OS-013,1149365.61860536,9348.52590425919,,
560540,Buckeye Trail,175.65522485,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,7698853.17481956,27036.8087526041,,
560541,Knightdale Environmental Park,8.40541244,TOWN OF KNIGHTDALE,KNIGHTDALE,PARK, , , ,,,368386.504577134,2816.65628237062,,
