OBJECTID,SHAPELEN,TRAIL_NAME,CORRIDOR_NAME,OWNER,OWNER2,TRAIL_STATUS,TRAIL_CONDITION,TRAIL_SURFACE,TRAIL_CLASS,LENGTH,WIDTH,SLOPE,SUBSEGMENT_NAME,STREET,OPEN_DATE,MAINTAIN_DATE,EMERGENCY,LIGHTING,ACCESSIBILITY_STATUS,PUBLIC_ACCESS,ATV,BIKE,DOG,HIKE,PACK,WCRAFTMTR,WCRAFTNMTR,COMMENTS,SEG_LENGTH
302,367.675174622647,Neuse River Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.06963679,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,367.68226954
303,16471.9928110466,Walnut Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,3.11971595,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,16472.10021572
304,237.04107984687,Richland Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.04489414,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,237.04107984
292,46.3359879346643,Walnut Creek Trail,,City of Raleigh,,EXISTING,,,,0.00877576,14,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,46.33598794
296,1279.33496056269,Park Greenway/Loop Trail,Park Greenway/Loop Trail,Fuquay-Varina,,EXISTING,,,,0.24229829,8,,,,,,,,NOT EVALUATED,,,,,,,,,,1279.33496057
245,160.206281396516,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.0303421,5,,,,,,,,ACCESSIBLE,,,,,,,,,,160.20628139
247,32.6232831845163,Gardner Street Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.00617865,3,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,32.62328319
249,2265.81033535154,Walnut Creek Trail,,City of Raleigh,,EXISTING,,,,0.42913075,10,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,2265.81033534
250,537.248244475522,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,,,0.10175156,4,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,537.24824446
253,34827.910624453,Walnut Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,6.59691327,10,,,,,,,,ACCESSIBLE,,,,,,,,,,34831.70208147
257,4979.22847569171,Walnut Creek Trail,,City of Raleigh,,EXISTING,,,,0.94312553,10,,,,,,,,ACCESSIBLE,,,,,,,,,,4979.70277409
258,327.602637827367,Neuse River Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.06204669,10,,,,,,,,ACCESSIBLE,,,,,,,,,,327.60652593
261,315.297972420742,South Lake Subdivision Access Trail,South Lake Subdivision Access Trail,Fuquay-Varina,,EXISTING,,,,0.05971553,5,,,,,,,,NOT EVALUATED,,,,,,,,,,315.29797242
262,57704.0509178604,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,10.92942671,10,,,,,,,,ACCESSIBLE,,,,,,,,,,57707.3730523
263,2948.47821328691,Mine Creek Trail,,City of Raleigh,,EXISTING,,,,0.5584239,4,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,2948.47821325
264,2556.94330689382,Mine Creek Trail,,City of Raleigh,,EXISTING,,,,0.48426957,6,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,2556.94330689
265,1841.50967154213,Rocky Branch Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.34877077,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1841.50967153
267,1440.03153946307,Holly Ridge,Holly Ridge,Fuquay-Varina,,EXISTING,,NATIVE MATERIAL,,0.27273325,,,,,,,,,NOT EVALUATED,,,,,,,,,,1440.03153946
269,504.903677139225,Gardner Street Trail,,City of Raleigh,,EXISTING,,,,0.0956257,3,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,504.90367714
271,235.620782148107,Abbotts Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.04462515,5.5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,235.62078215
335,4230.63157374346,Hare Snipe Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.80125598,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,4230.63157375
